Identifiant,Nom spectacle,Nom spectacle + [identifiant],URL,Lien image,Heure début,Heure fin,Durée,Lieu,Salle,Type Public,Jour relâche,Type,04/07/2025,05/07/2025,06/07/2025,07/07/2025,08/07/2025,09/07/2025,10/07/2025,11/07/2025,12/07/2025,13/07/2025,14/07/2025,15/07/2025,16/07/2025,17/07/2025,18/07/2025,19/07/2025,20/07/2025,21/07/2025,22/07/2025,23/07/2025,24/07/2025,25/07/2025,26/07/2025,Compagnie_website,Compagnie_instagram,Compagnie_facebook,Tarif_plein,Tarif_abonne,Tarif_enfant,Tarif_reduit,Entree_libre
6282,Coriace,Coriace [6282],http://www.festivaloffavignon.com/spectacles/6282-coriace,https://www.festivaloffavignon.com/data/spectacles/6282-XEWIBOCVY1ZsyaBTq6QS-catalogue.png,13:30:00,14:35:00,1:05:00,CHÊNE NOIR (THÉÂTRE DU),Salle John Coltrane,Tout public à partir de 10 ans,Mardi,Seul·e en scène,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,https://futuracte.com,https://www.instagram.com/futuracte,https://www.facebook.com/futuracte,22€,15€,10€,15€,
5602,Le Dîner De Cons,Le Dîner De Cons [5602],http://www.festivaloffavignon.com/spectacles/5602-le-dner-de-cons,https://www.festivaloffavignon.com/data/spectacles/5602-9vgWjLYTuGwexfkl5q86-catalogue.png,13:40:00,14:40:00,1:00:00,Paradise République,STUDIO Z,Tout public à partir de 6 ans,Mardi,Comédie,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,https://www.paradiserepublique.com,https://www.instagram.com/paradise_republique/,https://www.facebook.com/profile.php?id=100063625389391,22€,17€,16€,,
7587,Nous Etions La Forêt,Nous Etions La Forêt [7587],http://www.festivaloffavignon.com/spectacles/7587-nous-etions-la-fort,https://www.festivaloffavignon.com/data/spectacles/7587-7WxgiByBollPk5UBgDva-catalogue.jpg,21:00:00,22:45:00,1:45:00,CONTRE COURANT (FESTIVAL),Contre Courant,Tout public à partir de 12 ans,,Théâtre contemporain,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,https://www.laviegrande.com/la-compagnie-1,,,15€,10€,,,
6055,Une peau plus loin,Une peau plus loin [6055],http://www.festivaloffavignon.com/spectacles/6055-une-peau-plus-loin,https://www.festivaloffavignon.com/data/spectacles/6055-5b4jBTjyTsmDAPBVmEfn-catalogue.jpg,10:30:00,11:45:00,1:15:00,ARTÉPHILE,Salle 1,Tout public à partir de 11 ans,Dimanche,Théâtre contemporain,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,https://www.sabrinachezeau.com/,,,21€,10€,,10€,
6293,La fille qui se sauve,La fille qui se sauve [6293],http://www.festivaloffavignon.com/spectacles/6293-la-fille-qui-se-sauve,https://www.festivaloffavignon.com/data/spectacles/6293-UKNcf9XHsOFQaJKhNSF7-catalogue.png,13:25:00,14:30:00,1:05:00,11 • AVIGNON,Salle 2,Tout public à partir de 13 ans,Vendredi,Théâtre contemporain,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,https://compagnieamonine.cargo.site/1,https://www.instagram.com/cie_amonine/?hl=fr,https://www.facebook.com/Amonine,23€,16€,11€,,
7298,Lala petite ogresse,Lala petite ogresse [7298],http://www.festivaloffavignon.com/spectacles/7298-lala-petite-ogresse,https://www.festivaloffavignon.com/data/spectacles/7298-aAKwSVk8ZYjLUUb0yi1v-catalogue.jpg,09:45:00,10:20:00,0:35:00,ISLE 80,ISLE 80,Jeune public de 4 à 13 ans,Mardi,Théâtre musical,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,https://www.23h60.com/copie-de-amacharou,,https://www.facebook.com/profile.php?id=100054517387311,12€,5€,5€,5€,
7257,Un ouvrage de Dames,Un ouvrage de Dames [7257],http://www.festivaloffavignon.com/spectacles/7257-un-ouvrage-de-dames,https://www.festivaloffavignon.com/data/spectacles/7257-0crLF4nNROQiGu2Fs2UG-catalogue.jpg,22:30:00,23:30:00,1:00:00,OBSERVANCE (THEATRE DE L'),Salle 2,Adulte uniquement à partir de 10 ans,***,Théâtre contemporain,True,True,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,False,False,True,False,,,https://www.facebook.com/share/12F4ViaKeHx/,18€,12€,,12€,
6642,"HAMLET, la fin d'une enfance","HAMLET, la fin d'une enfance [6642]",http://www.festivaloffavignon.com/spectacles/6642-hamlet-la-fin-d-une-enfance,https://www.festivaloffavignon.com/data/spectacles/6642-Ef7UeT8xbdsAeBUM7FvG-catalogue.png,18:05:00,19:25:00,1:20:00,CABESTAN (THÉÂTRE LE),Théâtre Le Cabestan,Tout public à partir de 12 ans,Mardi,Théâtre contemporain,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,https://lespiesmenteurs.fr/,https://www.instagram.com/lespiesmenteurs/,https://www.facebook.com/lespiesmenteurs/,20€,12€,10€,10€,
6628,ALIKER-Sucre amer,ALIKER-Sucre amer [6628],http://www.festivaloffavignon.com/spectacles/6628-aliker-sucre-amer,https://www.festivaloffavignon.com/data/spectacles/6628-cGr9lBWkTSqyAfD36CGh-catalogue.jpg,19:45:00,21:05:00,1:20:00,FIGUIER POURPRE (LE) (Maison de la Poésie d'Avignon),Le Figuier Pourpre - Maison de la Poésie d'Avignon,Adulte uniquement à partir de 15 ans,Jeudi,Théâtre contemporain,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,https://www.car-avan.fr,,,18€,10€,,10€,
7604,Love Music,Love Music [7604],http://www.festivaloffavignon.com/spectacles/7604-love-music,https://www.festivaloffavignon.com/data/spectacles/7604-DShcFNTre09jEGKXVo1N-catalogue.jpg,22:20:00,23:30:00,1:10:00,AU COIN DE LA LUNE / LUNA THÉÂTRES,AU COIN DE LA LUNE,Adulte uniquement à partir de 7 ans,,Théâtre musical,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,https://www.estebanperroy.com,https://www.instagram.com/estebanperroy/,https://www.facebook.com/esteban.perroy,23€,12€,12€,19€,
